관광안내소명,시군구명,소재지도로명주소,이미지 주소,홈페이지주소,위도,경도,,
북촌마을안내소,종로구,서울특별시 종로구 북촌로 5길 48,https://lh5.googleusercontent.com/p/AF1QipPcgZ8DsDT9RlD-dfCeIDiOYxdssgcW1CdND3Q1=w408-h544-k-no,,37.5807856,126.9831611,,
인사동홍보관,종로구,서울특별시 종로구 인사동11길 19,https://lh5.googleusercontent.com/p/AF1QipOu0vqNnhM9zkdy-nj6HjcPflbj0C8p7swAxw1k=w426-h240-k-no,hiinsa.com,37.5736368,126.9835776,,
북인사관광안내소,종로구,서울특별시 종로구 인사동 길 62,https://lh5.googleusercontent.com/p/AF1QipPbZv8fmCmtcBRC7Q7kzyiM_PH4VJJheTL_dhDb=w426-h240-k-no,insainfo.or.kr,37.5753661,126.9834891,,
서초관광정보센터,서초구,"서울특별시 서초구 서초동 1318-7,11번지",https://lh5.googleusercontent.com/p/AF1QipPRVhuLhZyXFaS0vNv05nUP_0lh1ANPaIrL1tfb=w408-h306-k-no,www.seoulseochotour.com,37.4982506,127.0263649,,
송파관광정보센터,송파구,서울특별시 송파구 잠실로 180,https://lh5.googleusercontent.com/p/AF1QipPZUvl_f0SUuRcrAoysre-zP8-VS8AVYy1PSpFg=w408-h725-k-no,http://songpa.go.kr/user.kdf?a=songpa.menu.MenuApp&c=1001&cate_id=AM0407000000_2_,37.5117343,37.5117343,,
신촌플레이버스,서대문구,서울특별시 서대문구 연세로 5길 11,https://geo1.ggpht.com/cbk?panoid=v_7Ax4ifoJw8DnBszDMT9w&output=thumbnail&cb_client=search.gws-prod/maps/local-details-getcard.gps&thumb=2&w=408&h=240&yaw=131.60344&pitch=0&thumbfov=100,play.sdm.go.kr,37.556622,126.9350047,,
남산타워,용산구,서울특별시 용산구 남산공원길 105,https://lh5.googleusercontent.com/p/AF1QipO6cEbp2x-DLbF8wfPyJkRINTp6Yo_K6zAvjcZn=w408-h544-k-no,,37.551676,126.988211,,
청계천,종로구,서울특별시 종로구 서린동 148,https://lh5.googleusercontent.com/p/AF1QipOUHsYXEdSacA0HyyIZuawzez7Mv8Fzzl4y1RtF=w408-h306-k-no,,37.569168,126.977985,,
한양도성,종로구,서울특별시 종로구 욜곡로 283,"https://www.google.com/maps/place/Seoul+City+Wall+Trail/@37.5779633,127.0084459,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipPNikjI0C4Fulw3zXEiNdI9k1N0SblFpJ1M7pgY!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipPNikjI0C4Fulw3zXEiNdI9k1N0SblFpJ1M7pgY%3Dw203-h114-k-no!7i2048!8i1155!4m8!1m2!2m1!1z7ZWc7JaR64-E7ISx!3m4!1s0x357ca331fa8fa133:0xa60396ea18140221!8m2!3d37.5779633!4d127.0084459#",,37.565358,126.974623,,
DDP,중구,서울특별시 중구 을지로 281,https://lh5.googleusercontent.com/p/AF1QipMfppPZSeaKCuWV9Qq5b8-A2zumCM8C6qS9OECi=w408-h306-k-no,,37.566746,127.008686,,
남대문시장,중구,서울특별시 남대문시장 4길 21,https://lh5.googleusercontent.com/p/AF1QipPV9apr4gmvX-gAit1ZqvqY5wt2JzixL-BsMl4H=w426-h240-k-no,,37.559240,126.977656,,
이태원,용산구,서울특별시 용산구 이태원1동 녹사평대로46길 16,"https://www.google.com/maps/place/Itaewon-dong,+Yongsan-gu,+Seoul/@37.5400456,126.9921017,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipOTdgp18VwKSOVEWh-DNjTsI6B0SjEh84Psn_Ib!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipOTdgp18VwKSOVEWh-DNjTsI6B0SjEh84Psn_Ib%3Dw203-h114-k-no!7i5312!8i2988!4m5!3m4!1s0x357ca24c0510be8f:0x1ad07db728bb9103!8m2!3d37.5400456!4d126.9921017#",,37.534646,126.994617,,
창덕궁,종로구,서울특별시 종로구 율곡로 99,https://lh5.googleusercontent.com/proxy/kxL7ktpWLRKXQIJZjNCnXJ5LvmoTQPgPUnTvuhscTWCugZ8WdsBVDizVsTwBDz78D4a59PP0h7Ddy9TXJF3UEaS2xrplCKcPmPeyl9-eEZ3cMZ24MZKQRkNeFH2uX1Z108XT6l2q8GShPvs8Q0HXJF3tzHRoYdo=w435-h240-k-no,,37.579465,126.990970,,
경복궁,종로구,서울특별시 종로구 경희궁길 31,https://lh4.googleusercontent.com/proxy/nt7K79ymAJT5qvItOP7TfPp9gTtsQcUWISmpfKZGkxTPgCnu4FEsnm3ya-0kRuYrUN4PcrMS49xJo9Nh0YMgD2EQhxvLU2ab-EdRQ2zyMfUOZ1z_OoUD4HLLywO-3usc9xBc1Dvcr9rYkf3NO7oTygIpaYVLXw=w408-h272-k-no,,"37.579796,",126.977116,,
봉은사,강남구,서울특별시 강남구 봉은사로 531 봉은사,https://lh5.googleusercontent.com/p/AF1QipP9apau2k_ffb6IUr1EHGfV4pGbR3nSxHFXsWp9=w408-h306-k-no,,37.515320,127.057438,,
종묘,종로구,서울특별시 종로구 훈정동 1,https://lh5.googleusercontent.com/p/AF1QipMN5EeXj1lT3I1BDRawD1OaIy8mP480MgoBPTce=w408-h306-k-no,,37.574872,126.994100,,
명동성당,중구,서울특별시 중구 명동길 74,https://lh5.googleusercontent.com/p/AF1QipMoEZ0W2tW_Z8ZQBaqcJohaGkWWZuPTt-xZhvPy=w408-h407-k-no,,37.563145,126.987242,,
선정과 정릉,강남구,서울특별시 강남구 선릉로 100길 1,https://lh5.googleusercontent.com/p/AF1QipPDOLWCtfGZdiVo8hA-4VXu0_AjqgQB7OeQC9cr=w426-h240-k-no,,37.602031,127.006136,,
가로수길,강남구,서울특별시 강남구 신사동,https://lh5.googleusercontent.com/p/AF1QipPthzhWpE8D9_9EXtyAxAnM4raaxN7mnd9miDGu=w408-h306-k-no,,37.520548,127.022955,,
롯데타워,송파구,서울특별시 송파구 올림픽로 240,https://lh5.googleusercontent.com/p/AF1QipMGUSfiEVlpC7_fb-FWZqWkT5Wi-y5xTHThcZjx=w408-h755-k-no,,37.513297,"127.102775

",,
서초관광정보센터,중구,서울특별시 중구 세종대로 110,https://lh5.googleusercontent.com/p/AF1QipPRVhuLhZyXFaS0vNv05nUP_0lh1ANPaIrL1tfb=w408-h306-k-no,,37.498428,127.027091,,
광화문 광장,중구,종로구 세종대로 172,https://lh5.googleusercontent.com/p/AF1QipO5WrpD56fIEFhL8c6VOXLFjdeHzPpmGJac1vgD=w408-h271-k-no,,37.574081,126.976780,,
경의선숲길,마포구,서울특별시 마포구 동교동 147-89,https://lh5.googleusercontent.com/p/AF1QipMLEINMY9qK25JQCDWx-XMy1vfWRn2rrjrGaVjV=w408-h408-k-no,,37.558893,126.925425,,
정동길,중구,서울특별시 중구 정동길 2,https://lh5.googleusercontent.com/p/AF1QipN_1mH8MyKrN9vd6Xu2ByvJbPH08uFb8O9Ud3Tx=w426-h240-k-no,,37.567017,126.970813,,
커먼그라운드,광진구,서울특별시 광진구 아차산로 200,https://lh5.googleusercontent.com/p/AF1QipOYxXdVyX5nfoyZ-db5AGehuoSwoVYHUKGuLUVj=w408-h259-k-no,,37.540908,127.066003,,
경리단길,용산구,서울특별시 용산구 이태원동 210-65,"https://www.google.com/maps/place/Gyeongridan-gil+Road/@37.538432,126.9875466,3a,75y,90t/data=!3m8!1e2!3m6!1sAF1QipO2VQ-cfUViNKGEuAoPT5haNAI8cG9-IOG7MHLA!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipO2VQ-cfUViNKGEuAoPT5haNAI8cG9-IOG7MHLA%3Dw203-h152-k-no!7i4032!8i3024!4m8!1m2!2m1!1z6rSA6rSRIOuqheyGjA!3m4!1s0x357ca24c2f9ff5d9:0xca18f574a0ffc729!8m2!3d37.538432!4d126.9875466#",,37.538458,126.987546,,
광장시장,종로구,서울특별시 종로구 창경궁로 88,https://lh5.googleusercontent.com/p/AF1QipP5pgQEYxW2V9MuAHzOG-T_CzOO_kfPWhGy4R_z=w408-h272-k-no,,37.570216,126.999305,,
통인시장,종로구,서울특별시 종로구 지하문로 15길 18,https://lh5.googleusercontent.com/p/AF1QipMQhSOGx3lLX3HjNkaBAL9DWDvuSKPFf73iscN7=w408-h306-k-no,,37.580740,126.969990,,
노량진 수산시장,동작구,서울특별시 동작구 노들로 674,https://lh5.googleusercontent.com/p/AF1QipOsPShz-qhZyPk2vSoF9VhP2_vTBtyBZVkStRHZ=w408-h272-k-no,,37.515451,126.940841,,
남대문,중구,서울특별시 남대문시장 4길 42-1,https://lh5.googleusercontent.com/proxy/iD93KR_9LyaJj_OOCQPgSWeAs1p9VUT527qp5nV6WnWWIHrZeRM6mUJ62cMWdLC2pZ-xTjopYzfuGtCleLZKAYJGVLZdlOx2K6g_ZDugrGH9EJC-o1Gl29SekFdG8hrIJMFQeg2AseXl0lXwNXK8oZ4IFR0XY7E=w408-h271-k-no,,37.559944,126.975345,,
신당동 떡볶이 골목,중구,서울특별시 신당동 퇴계로 76길,https://geo2.ggpht.com/cbk?panoid=BC-Uoor4z_nfZIHvBtrPAQ&output=thumbnail&cb_client=search.gws-prod/maps/revgeo_and_fetch.gps&thumb=2&w=408&h=240&yaw=200&pitch=-20&thumbfov=100,,37.563411,127.015052,,
연남동,마포구,서울특별시 마포구 연남동,https://lh5.googleusercontent.com/p/AF1QipPinLwfRvZY5ChWvdWaLxPn8aIaPyYvMrdqttur=w408-h306-k-no,,37.560953,126.925437,,
강남 자하철 지하상가,강남구,서울특별시 강남구 강남대로 396,https://lh5.googleusercontent.com/p/AF1QipNkz7EYB0VYsfONc5E5hApW7WXxz_hoIuKUwor0=w408-h306-k-no,,37.498520,127.028007,,
동대문패션타운,중구,서울특별시 중구 장충단로 253,https://lh5.googleusercontent.com/p/AF1QipN62Wkh0r8MPqDFbnG245LpzbGSxSErCj4dmPMp=w426-h240-k-no,,37.567754,127.008820,,
신촌,서대문구,서울특별시 서대문구 창천동,https://lh6.googleusercontent.com/proxy/gJAMlDvT90-MfRs7kIiB_H0zBtOEU5Cf7Rf-7X9_Az_fsOZRgJdwJPLu4EgW4jfvPh0PlUkAinc2QKjPkCa92l61IqrTZixN105WxB8U6jjApfIpMX2pTTgi8D9b01GToAsvtMxMvzwgihRFmgCAVWThRiv0HQ=w408-h272-k-no,,37.555783,126.936823,,
코엑스몰,강남구,서울특별시 강남구 영동대로 513 코엑스몰,https://lh5.googleusercontent.com/p/AF1QipMOjApElBGPB7oziCEPkSzTCfVLrHepeZ13KpfG=w408-h278-k-no,,37.511745,127.059329,,
"서울풍물시장,동묘",동대문구,서울특별시 동대문구 천호대로4길 21,https://lh5.googleusercontent.com/p/AF1QipOZpVFsA6yHLZOse-w2R_Lx_IF_9Ucgm4YlFfDp=w408-h408-k-no,,37.572671,127.025513,,
압구정 로데오거리,강남구,서울특별시 강남구 언주로 172길,https://lh5.googleusercontent.com/p/AF1QipN_VCZyuzeZz6WL0YZPa-3OpL8wwnyyh0lJGJub=w408-h306-k-no,,37.527585,127.040532,,
프리마켓,마포구,서울특별시 와우산로 21길,https://lh5.googleusercontent.com/p/AF1QipM7haSG_3IsVNYh7dSfEEhnkKF4qIQ3jyJ3XSDX=w426-h240-k-no,,37.552126,126.922982,,
여의도 IFC,영등포구,서울특별시 영등포구 국제금융로 10,https://lh5.googleusercontent.com/p/AF1QipN6AcvOUOSFHqhEavjVSBeyWjI06c3g99Lvs9WL=w426-h240-k-no,,37.524954,126.925295,,
청담동 패션거리,강남구,서울특별시 강남구 압구정로 448,https://geo0.ggpht.com/cbk?panoid=aqOiPVcCPntOshkwk87AuA&output=thumbnail&cb_client=search.gws-prod.gps&thumb=2&w=408&h=240&yaw=208.92303&pitch=0&thumbfov=100,,37.525521,127.044312,,
가산 디지털단지,금천구,서울특별시 금천구 디지털 9~10길,https://lh5.googleusercontent.com/p/AF1QipMQvu9NPZHnBUCn2rFz9huXMQ0N9j68CzEqrtuq=w426-h240-k-no,,37.478385,126.886607,,
서울약령시장,동대문구,서울특별시 동대문구 약령중앙로 10,https://lh5.googleusercontent.com/p/AF1QipNAKOjvsvPKSQYPmVGhEo3is3TCQj8jWKE8Y_rV=w426-h240-k-no,,37.578970,127.037044,,
무지개 분수,서초구,서울특별시 서초구 올림픽대로 683,https://lh5.googleusercontent.com/p/AF1QipN9htJoYWxbO0xCy-FIXKYkf1fkE-bz4gqZIcyQ=w408-h306-k-no,,37.512611,126.998024,,
여의도 한강,영등포구,서울특별시 영등포구 여의동로 280,https://lh5.googleusercontent.com/p/AF1QipMHvDBXzIW9qNIFZ_lvqOK4RuIrOuf8DdXnR9ku=w408-h306-k-no,,37.528444,126.934065,,
낙산공원,종로구,서울특별시 종로구 낙산길 41,https://lh5.googleusercontent.com/p/AF1QipPW8Zxy38IxUNuybXYERDP-AGBhiA_iBd7JrLSr=w426-h240-k-no,,37.580789,127.007338,,
63 스퀘어,영등포구,서울특별시 영등포구 63로 50,https://lh5.googleusercontent.com/p/AF1QipPV6QkMOr4cqAKYQyB5ADYoQxyvHmkR8Wxxam-g=w408-h544-k-no,,37.519538,126.940167,,
밤도깨비 야시장,영등포구,서울특별시 영등포구 여의도동 84-9,https://lh5.googleusercontent.com/p/AF1QipOJc9usHK-f_gAjjsVT7d4VvzambsQEujLpEwmg=w408-h306-k-no,,37.531178,126.929085,,
상암 DMC/MBC World,마포구,서울특별시 마포구 상암동 1603,https://lh5.googleusercontent.com/p/AF1QipO1VPrXFIhWU9T8hlPKiWpzCaaIZxoB4KQfF1Ji=w408-h272-k-no,,37.580244,126.890704,,
SM 센터,강남구,서울특별시 강남구 삼성로 648,https://lh5.googleusercontent.com/p/AF1QipPNat7Fi5NNX33PeqQklCsDVXJKzYoISqPArkUo=w426-h240-k-no,,37.517933,127.051068,,
난타 전용극장,마포구,서울특별시 마포구 양화로 16길 29 홍익몰,https://lh5.googleusercontent.com/p/AF1QipPFgpzoGLLUoQNrt5E2i6zNS7HEY2KFscY34UX6=w408-h306-k-no,,37.553048,126.921108,,
강남관광 한류체험관,강남구,서울특별시 강남구 압구정동 428,https://lh5.googleusercontent.com/p/AF1QipNEaR3LaXsd8FtZFI9XZpWNIOrcyvp6IEltuP5H=w426-h240-k-no,,37.526659,127.027000,,
K-Style Hub,중구,서울특별시 중구 청계천로 40 ,https://lh5.googleusercontent.com/p/AF1QipN581alQQcmkLpKjNsFTvNW__SX-3EUzZASvzhW=w408-h408-k-no,,37.568402,126.981627,,
그레뱅 뮤지엄,중구,서울특별시 중구 을지로 23 을지로 별관,https://lh5.googleusercontent.com/p/AF1QipOjZ3A0wA9Rc9AktrzmDM25XqWtdFRkUc7U-1hW=w426-h240-k-no,,37.566203,126.980439,,
Klive,중구,서울특별시 중구 을지로 264 롯데피트인 9층,https://lh5.googleusercontent.com/p/AF1QipMc4G59SGIulAxyp8kP7p1LytuBp4N2nje2m--n=w408-h272-k-no,,37.565744,127.007072,,
비보이 전용극장,마포구,서울특별시 마포구 와우산로 121 삼진제약사옥,https://lh5.googleusercontent.com/p/AF1QipO-xgZBfgEillL-1oiSNtxPvq9gtRWcdRZz2wXo=w426-h240-k-no,,37.553450,126.926767,,
월드텁공원,마포구,서울특별시 마포구 상암동 481-6,https://lh5.googleusercontent.com/p/AF1QipM_u359MZqOHyOQMB3gtIxgDJRnn4h2F3UpELY=w426-h240-k-no,,37.562259,126.895116,,
석촌호수공원,송파구,서울특별시 송파구 잠실로 148,https://lh5.googleusercontent.com/p/AF1QipPbQS-0ikvU-KsKthFATFJF5jf_PgqyIfZ6kKP5=w408-h272-k-no,,37.508986,127.102911,,
올림픽공원,송파구,서울특별시 송파구 올림픽로 424 올림픽공원,https://lh5.googleusercontent.com/p/AF1QipNZge4tMM4hvz_GtiaY59UwbI8nriM1D-ehbykX=w426-h240-k-no,,37.520648,127.121780,,
서울숲,성동구,서울특별시 성동구 뚝섬로 273,https://lh5.googleusercontent.com/p/AF1QipOLUECJXZJqEVIpnSuMWuoSs5_OJJKGZKNKEThs=w408-h272-k-no,,37.544417,127.037221,,
서울랜드,과천시,경기도 과천시 막계동 53 서울랜드,https://lh5.googleusercontent.com/p/AF1QipP3GoHkW7jtXDDl9ZH3nK22PHQODdSdnJlqAYWN=w408-h283-k-no,,37.434190,127.020062,,
북서울꿈의 숲,강남구,서울특별시 강북구 월계로 173 북서울꿈의숲,https://lh5.googleusercontent.com/p/AF1QipOO44JnREuREsiv-h11Ce9kDu527_Q0nHFvuGis=w426-h240-k-no,,37.621418,127.040665,,
난지 캠핑장,마포구,서울특별시 마포구 한강난지로 22,https://lh5.googleusercontent.com/p/AF1QipMkUOQ21JrZg6Jbc483HJFzXjAYuirMH49rh2ge=w408-h306-k-no,,37.570370,126.872740,,
