문화공간코드,장르분류명,문화공간명,대표이미지,주소,전화번호,홈페이지,관람시간,관람료(원),휴관일,X좌표,Y좌표
101318,박물관/기념관,한양대학교 박물관,http://culture.seoul.go.kr/data/cf/20180918154108.jpg,서울특별시 성동구 왕십리로 222,02-2220-1394,https://museumuf.hanyang.ac.kr/,,,일요일 및 공휴일,37.555041642011800,127.0447032332570
100968,박물관/기념관,돈의문박물관마을,http://culture.seoul.go.kr/data/cf/20190516154819.JPG,서울특별시 종로구 송월길 14-3,02-739-6994,http://dmvillage.info,,,매주 월요일 1월 1일,37.56882394907890,126.96852312550800
101400,박물관/기념관,한양도성박물관,http://culture.seoul.go.kr/data/cf/20190708100957.JPG,서울특별시 종로구 율곡로 283,02-724-0243,http://www.museum.seoul.kr/scwm/NR_index.do,,,매주 월요일 1월 1일,37.572857089314800,127.0085126173550
100984,박물관/기념관,서울한방진흥센터 서울약령시한의약박물관,http://culture.seoul.go.kr/data/cf/20180314161907.jpg,서울특별시 동대문구 약령중앙로 26,29699241,http://kmedi.ddm.go.kr,,,매주 월 설날 추석,37.5805999642,127.037586191
101409,박물관/기념관,수림아트센터,http://culture.seoul.go.kr/data/cf/20190724102859.jpg,홍릉로 118 (청량리동),02)962-7911,http://www.soorimcf.or.kr/index.html,,,상황에 따라 다름,37.590714974080100,127.04283933629700
101133,박물관/기념관,가회민화박물관,http://culture.seoul.go.kr/data/cf/20180527081359.jpg,서울특별시 종로구 북촌로 52,02)741-0466,www.gahoemuseum.org,,,월요일,37.5815096214,126.9852279941
100967,박물관/기념관,서울하수도과학관,http://culture.seoul.go.kr/data/cf/20180203142034.JPG,서울  성동구 용답동 250-7,02-2211-2540,http://sssmuseum.org,,,매주 월요일 설 당일 구정 당일 추석 당일,37.5570864957,127.0580682563
101275,박물관/기념관,손기정기념관,,서울특별시 중구 손기정로 101,02-364-1936,http://www.sonkeechung.com/wordpress/,,,1월1일 설날 추석 매주 월요일(단 월요일이 공휴일인 경우 그 다음날),37.5568688301,126.9660066047
101231,박물관/기념관,서울한방진흥센터,,서울특별시 동대문구 약령중앙로 26,02-969-9241,kmedi.ddm.go.kr/,,,,37.5805999642,127.037586191
101358,박물관/기념관,아름다운청년 전태일기념관,http://culture.seoul.go.kr/data/cf/20190330133404.jpg,서울특별시 종로구 관수동 청계천로 105,02-318-0903,https://www.taeil.org/,,,매주 월요일 1월 1일 설날(당일) 추석(당일),37.568513,126.989305
