관광안내소명,소재지도로명주소,위도,경도,카테고리,마크,이미지
스타벅스 경복궁점,서울 종로구 새문안로5길 55,37.575007,126.973906,카페,0,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20151226_103%2Fdeartasha_14511367649467xbO8_JPEG%2FDSC03900.JPG%23900x623
고궁뜨락카페,서울 종로구 효자로 12 국립고궁박물관 1층,37.576745,126.974924,카페,0,https://search.pstatic.net/common/?src=http%3A%2F%2Fldb.phinf.naver.net%2F20190306_63%2F1551859756338SeDRW_JPEG%2FWfbsq8M5fY1770VPUqA6vLJw.jpg
폴바셋 경북궁점,서울 종로구 종로1길 50 더케이트윈타워 1층,37.574710,126.979040,카페,0,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2F20160503_119%2Fyoritime_1462260427504SPqwn_JPEG%2F20160329_133147.jpg%23900x506
꾸까,서울 종로구 율곡로 1 2층,37.536563,126.988553,카페,0,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTEyMjBfODkg%2FMDAxNTc2NzY5MDgzNTQw.krUiZmeuLZ9kDkjkqetUcPr7UvrTxDw7axNEJfqgY40g.S-gzxmYSK_4Yqat-m2eYoU-zdGDZgyU23LFrrhe0Adog.JPEG.myloverjoon%2F20191217_192651.jpg
투썸플레이스 경복궁,서울 종로구 율곡로 6 트윈트리빌딩 A동 1층,37.572936,126.980444,카페,0,https://search.pstatic.net/common/?src=http%3A%2F%2Fldb.phinf.naver.net%2F20190221_293%2F1550721611490446hp_JPEG%2FPn3m0yFnco1YnwgNCU2f9DYP.jpg
미술관옆짚,서울 종로구 자하문로4길 22,37.577290,126.973475,카페,0,https://lh5.googleusercontent.com/p/AF1QipOm3cE8GtD7Z570DmYAcA2hvQSkUFlMYlQSJTll=w408-h306-k-no
스타벅스 시청플러스점,서울특별시 강남구 을지로1가 50 삼성 화재 삼성 빌딩 1 층,37.566272,126.980049,카페,0,https://lh5.googleusercontent.com/p/AF1QipNytjHDBW3HOsabHwlaEDiJh-8vRWqVoe88GE_o=w486-h240-k-no
디초콜릿커피앤드,서울특별시 중구 명동 을지로 100 B101호,37.565748,126.988555,카페,0,https://lh6.googleusercontent.com/YMY3fSsyE1hS74gl5B9uCFRUtGvdv0nJvqdXHq20kgyfG0L3IuOI7wrybTN-ONDK=w426-h240-k-no
커피빈 을지로입구역점,서울특별시 중구 수하동 남대문로10길 6,37.566838,126.983228,카페,0,https://lh5.googleusercontent.com/p/AF1QipMEk-FDvtRXkO7XjZRTS93puig2Ihy9sg_rSBFp=w408-h306-k-no
전광수커피하우스 명동성당,서울특별시 중구 명동2가 명동길 74,37.563205,126.986791,카페,0,https://search.pstatic.net/common/?src=http%3A%2F%2Fldb.phinf.naver.net%2F20150901_240%2F1441107410784ubnia_JPEG%2F166660514729951_9.jpeg
커피한약방,서울특별시 중구 명동 삼일대로12길 16-6,37.566533,126.988587,카페,0,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTExMTdfMTA4%2FMDAxNTczOTcwODE0NjEy.9D_i055yVcK4YOwxWQfYtABFywhYmkgHNKTVDlKbZ2Eg.giVz2ckKvg0bE-jD78Ptmh7QwQ9yNPDTPBdukZo59rgg.JPEG.heekyeung902%2F20191016_154222.jpg
카페그냥그냥,서울 성북구 아리랑로5길 151,37.600603,127.011208,카페,0,https://lh5.googleusercontent.com/p/AF1QipOZXtn1Eo7ZXf5ql1WKfD0WcorWa497gMcz_GHR=w408-h306-k-no
커피나무아래,서울 성북구 정릉로26길 61,37.602695,127.013112,카페,0,https://lh5.googleusercontent.com/p/AF1QipNNZAswDm5sOlSGgHIkOQ-VGbOJBvqP-aUFqs9V=w426-h240-k-no
이디야커피 정릉중앙점,서울 성북구 정릉로 251 명성빌딩,37.604664,127.011905,카페,0,https://search.pstatic.net/common/?src=http%3A%2F%2Fldb.phinf.naver.net%2F20170711_282%2F1499738599754pJSvu_JPEG%2F186661513339210_0.jpeg
탐앤탐스 탐스커버리,서울 강남구 봉은사로 543,37.514296,127.059324,카페,0,https://lh5.googleusercontent.com/p/AF1QipMAgYRg8G23r0_bMwb5O9_6WjM-R8Q2Il51iqBi=w408-h306-k-no
룩아워티 티컵,서울 강남구 영동대로 513 코엑스몰 B1 P108,37.509030,127.060991,카페,0,https://lh3.googleusercontent.com/vE0MY_SksPF-fLihYTfDf7mgTlQEUPFsJapADQefVrmcF8VUqKynrkpKv2KV6fbIig=w408-h607-k-no
스타벅스 코엑스사거리점,서울 강남구 영동대로 616,37.515332,127.060092,카페,0,https://lh5.googleusercontent.com/p/AF1QipM39-QtIS4P5RckKzaVHa8-_ajZCp9oOJLfpub9=w408-h544-k-no
SM타운 라이브러리 카페,서울 강남구 봉은사로 524,37.510082,127.060250,카페,0,https://lh5.googleusercontent.com/p/AF1QipOt6FHB4kz99HSPpqY2T7TEHfCtrdNdjy1DHjEd=w408-h272-k-no
"서울 선릉과 정릉
",서울 강남구 선릉로100길 1 선릉정릉,37.508355,127.049199,관광명소,0,https://lh5.googleusercontent.com/p/AF1QipNwLBe5CXuECarkyvf07KEe5LR2y4ud55Y7N7W5=w408-h306-k-no
오더에스프레소,서울 강남구 봉은사로82길 27,37.511430,127.055442,커피,0,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxOTA4MDlfNzEg%2FMDAxNTY1Mjc4MDA1NDcy.am3M2CTr7wfdOu8-0QZskbD7FT8t1Q8R8TEkkOyXlx4g.qdMXqBbNwVMjOPD-kvKEp49I-Ko3F1Y3Z05m87QlLtog.JPEG.ifwawak%2FIMG_5968.JPG
담다,서울 강남구 선릉로100길 24,37.506803,127.049067,커피,0,https://lh5.googleusercontent.com/p/AF1QipPTjgZnMMLW8ji-l-Y0TbkQ0pkXnFBXkbrI5kIc=w408-h544-k-no
라원,서울 강남구 삼성로95길 33 1층,37.491106,127.124933,커피,0,https://search.pstatic.net/common/?src=http%3A%2F%2Fldb.phinf.naver.net%2F20190512_281%2F1557665768083gebOV_JPEG%2Fl_I98ViC5JBnEyTAtBV4O_bp.jpg
스물다섯,서울 강남구 봉은사로68길 35-1 지하 1층,37.510093,127.051723,커피,0,https://lh5.googleusercontent.com/p/AF1QipP8mwiySO-l5eorSbbaaJ3kKZv5ISQGDKb3AV0=w408-h544-k-no
삼성동커피볶는집,서울 강남구 봉은사로68길 49 진완빌딩,37.509250,127.052290,커피,0,https://lh5.googleusercontent.com/p/AF1QipOellsYqmY7_agT1dYpLa1uhXNyvogKaTBb-tiE=w426-h240-k-no
언제리너스 ,서울 중구 소월로 3,37.559176,126.976295,커피,0,https://pds.joins.com/news/component/htmlphoto_mmdata/201309/29/htm_2013092922342050105011.JPG
